,id
407,6699c999
537,8ba98f12
618,9f70688f
38,089a6b19
175,2a9e0dee
245,3ab539f0
824,d5fde276
665,a922ef3f
751,c2e15338
854,df4ab9b1
154,25a3a723
287,440acf4f
932,f1baae47
569,93c72a97
740,bf31e0a7
17,04f094a8
127,1f65fa82
322,4dc4ed56
255,3d36fe8b
655,a6969e1a
960,f7b1374e
190,2d0bbbd3
115,1c23295e
987,fdc11b96
606,9d6b1410
180,2bbcfd43
301,4950e24c
756,c3a3f61e
731,bc66f41d
720,b9b22bff
682,ad0bbf35
708,b41cee02
517,86335468
980,fc41be2f
45,0b4014f0
905,ebd6f819
157,26190ddd
741,bfb421f9
171,2a3fcf9a
16,04d06a9c
511,84b7d89d
48,0b7d7aec
967,f93010a8
836,da09ed4b
515,85d9c915
732,bc6bd8b2
480,7c194077
283,43720c15
715,b7c410a9
652,a5dbb00a
225,35daea65
26,0668373f
847,dcfcd574
437,6e1d28b6
947,f5ad7abc
364,5b66b6f2
229,36c1f189
37,08660d12
961,f7fc97cf
374,5e359a08
469,76fb4afb
963,f8674e15
846,dc33dcef
890,e754411f
722,b9cf3f7c
194,2ee0a1e8
850,de3750cc
993,ff18b749
503,83379672
965,f8bf4a1c
826,d661ddf7
579,954a4c2e
964,f869d220
162,27d7e5e4
951,f67908e7
152,24ab10c6
678,abaf745c
697,b120a337
752,c3061b23
111,1b329556
226,35fa2ebf
685,ad9f821d
103,1911731d
421,6a2fd807
419,69b65679
959,f75c957f
586,98413061
777,c7d9e964
119,1e08b1dc
53,0c4eabac
151,24a3b16d
403,658e66ec
941,f44f1227
207,321202d4
658,a7b9546a
848,dd689eb0
759,c3d46daf
8,02cf7384
803,cda90e9e
36,08577722
452,71ee31f8
651,a5974a7d
253,3c8f474a
303,49e4eade
743,c0442863
571,93fd93c4
623,9ff73d95
706,b3b200af
716,b802aec3
262,3e398bf9
610,9e027e04
297,48df987b
414,685cc0f1
150,2496c491
785,c9902f48
